X,Y,id,xcoord,ycoord
-118.109929574329,33.7393661797612,"0",1989812.48878564,526558.079649706
-118.11087533384,33.7410907614976,"1",1989725.05339829,526749.477061591
-118.11047164573,33.7393303831942,"2",1989762.24902053,526554.163950321
-118.113031693932,33.7398057669481,"3",1989525.06078866,526607.16019022
-118.114643881764,33.7411656824513,"4",1989375.82729114,526758.179522327
-118.111745883842,33.7416464726651,"5",1989644.44707581,526811.209267792
-118.110175718222,33.7393465838194,"6",1989789.6755018,526555.930922737
-118.113314616455,33.7421543918668,"7",1989499.13533217,526867.713504842
-118.107474954336,33.739470202321,"8",1990039.9782077,526569.372468044
-118.107058282043,33.7391652100136,"9",1990078.55641317,526535.499644391
-118.113531521969,33.7420742660251,"10",1989479.02466946,526858.848140987
-118.112045885216,33.7399123918458,"11",1989616.43137631,526618.885392012
-118.114696974361,33.741631349411,"12",1989370.96608655,526809.839749454
-118.112008728802,33.7409513321238,"13",1989620.00317291,526734.127154418
-118.114171811164,33.7400527631185,"14",1989419.43434367,526634.67792682
-118.111965141898,33.7409974991837,"15",1989624.04813162,526739.243786053
-118.112387079475,33.7405034955051,"16",1989584.88538768,526684.489521029
-118.113404817028,33.7413924063819,"17",1989490.68108774,526783.198866004
-118.111197182332,33.7400101892181,"18",1989695.09473527,526629.646334091
-118.11265096405,33.7414221602465,"19",1989560.54494101,526786.420790374
-118.111563820751,33.7398964786681,"20",1989661.10350209,526617.070514014
-118.114922649191,33.7407063176,"21",1989349.93536462,526707.253473436
-118.111281936578,33.7394311256092,"22",1989687.16924995,526565.421747662
-118.111354114275,33.7418405685121,"23",1989680.77641528,526832.699269989
-118.110622982647,33.7396483579786,"24",1989748.26298146,526589.451084845
-118.108780138138,33.7389754952803,"25",1989918.9636254,526514.62664417
-118.115693905523,33.7401244120541,"26",1989278.3875506,526642.7869505
-118.107725992872,33.7387104682493,"27",1990016.62341459,526485.12300931
-118.115326790655,33.7409791220212,"28",1989312.51766871,526737.557498181
-118.108042158492,33.7396470460713,"29",1989987.43482697,526589.045411533
-118.113830290436,33.7400192767963,"30",1989451.07963895,526630.927524065
-118.109910692099,33.7396209426836,"31",1989814.26956014,526586.337599669
-118.111364023759,33.7394289791493,"32",1989679.56172406,526565.19207429
-118.107217243143,33.7387749369086,"33",1990063.77879269,526492.223858845
-118.108853163326,33.7397394748978,"34",1989912.28790181,526599.379270921
-118.112596796548,33.7419211090139,"35",1989565.62668261,526841.761600073
-118.115219392641,33.7411722394333,"36",1989322.49493186,526758.967844289
-118.109292762698,33.7393089983235,"37",1989871.49715491,526551.672379525
-118.111819962105,33.7406733145144,"38",1989637.46211752,526703.268268221
-118.113682052124,33.7408143311419,"39",1989464.9169689,526719.104258742
-118.109440375489,33.7390685874181,"40",1989857.78838505,526525.019412453
-118.108957098631,33.7393262034666,"41",1989902.60625249,526553.547108427
-118.109037181277,33.7401056443733,"42",1989895.27853644,526640.015512843
-118.11231265207,33.7415616137689,"43",1989591.91385448,526801.854740711
-118.108204012946,33.7401275232346,"44",1989972.49270703,526642.359013479
-118.110274485413,33.7400719535766,"45",1989780.61071779,526636.403412718
-118.108857421003,33.7405803875594,"46",1989911.99435097,526692.658872641
-118.109838392053,33.7392672732897,"47",1989820.92693502,526547.099100288
-118.114858436486,33.7403398490797,"48",1989355.83960446,526666.595747468
-118.108479521903,33.7396368456619,"49",1989946.90194645,526587.957573985
-118.114861086796,33.7416425415642,"50",1989355.75911898,526811.098617477
-118.112137380585,33.7400918160407,"51",1989607.97448197,526638.797676081
-118.110879541533,33.7399392964711,"52",1989724.52257106,526621.749959281
-118.11206193981,33.7402053094077,"53",1989614.97978227,526651.379257016
-118.113264400325,33.7405490333225,"54",1989503.58819865,526689.632112664
-118.115514536321,33.7409801505108,"55",1989295.11917462,526737.691562882
-118.113934989415,33.7413392076244,"56",1989441.54290286,526777.353296468
-118.111573911141,33.741699345876,"57",1989660.39038492,526817.05658269
-118.115093137709,33.7418787871841,"58",1989334.28484706,526837.329016329
-118.108395850511,33.7401780657348,"59",1989954.72074471,526647.98465128
-118.111633124759,33.74127676352,"60",1989654.85097235,526770.187266633
-118.114432420613,33.7403758786588,"61",1989395.32387801,526670.547339338
-118.114160119891,33.7406029751625,"62",1989420.58711746,526695.709575555
-118.107091036573,33.7392015362779,"63",1990075.52523719,526539.532409901
-118.111377385056,33.7407223357709,"64",1989678.48246138,526708.660469061
-118.113978503038,33.7400795766108,"65",1989437.35201954,526637.631912509
-118.110287570408,33.7407333607798,"66",1989779.47860092,526709.772070782
-118.115369393582,33.7402775489593,"67",1989308.48028023,526659.73926561
-118.11290416357,33.7401281705163,"68",1989536.91952223,526642.909882273
-118.113510950157,33.7411276916682,"69",1989480.81248658,526753.846199098
-118.11288397014,33.7401498793947,"70",1989538.793596,526645.315861905
-118.110463147963,33.7404297463531,"71",1989763.17054987,526676.111171541
-118.111666032352,33.7402085276715,"72",1989651.66975665,526651.695415087
-118.114066931622,33.7399790406155,"73",1989429.14448896,526626.489141569
-118.110374146157,33.7402013377902,"74",1989771.39069153,526650.765637581
