X,Y,id,xcoord,ycoord
1882582.60699033,585319.01150013,"0",1882582.60699033,585319.01150013
1882641.48097998,585212.899002208,"1",1882641.48097998,585212.899002208
1882514.82463975,585465.343024426,"2",1882514.82463975,585465.343024426
1882574.06565615,585355.719344188,"3",1882574.06565615,585355.719344188
1882550.75691579,585383.311950304,"4",1882550.75691579,585383.311950304
1882641.97743885,585206.221345651,"5",1882641.97743885,585206.221345651
1882610.32773672,585281.23532395,"6",1882610.32773672,585281.23532395
1882558.78845956,585382.6262254,"7",1882558.78845956,585382.6262254
1882548.6322832,585400.07837744,"8",1882548.6322832,585400.07837744
1882543.46021573,585371.151691966,"9",1882543.46021573,585371.151691966
1882616.49656192,585270.07716023,"10",1882616.49656192,585270.07716023
1882548.24698048,585394.892155744,"11",1882548.24698048,585394.892155744
1882560.85096298,585376.212851928,"12",1882560.85096298,585376.212851928
1882649.89121583,585215.093655568,"13",1882649.89121583,585215.093655568
1882540.59729766,585381.678337866,"14",1882540.59729766,585381.678337866
1882498.66162397,585445.727519245,"15",1882498.66162397,585445.727519245
1882584.36396795,585306.233757941,"16",1882584.36396795,585306.233757941
1882592.75073144,585311.033616615,"17",1882592.75073144,585311.033616615
1882632.04704781,585206.911456365,"18",1882632.04704781,585206.911456365
1882528.70198126,585436.312050489,"19",1882528.70198126,585436.312050489
1882656.98411555,585183.441774708,"20",1882656.98411555,585183.441774708
1882488.41802964,585486.411846267,"21",1882488.41802964,585486.411846267
1882624.99580529,585231.094175515,"22",1882624.99580529,585231.094175515
1882627.16508915,585230.153711273,"23",1882627.16508915,585230.153711273
1882518.86337186,585411.554985416,"24",1882518.86337186,585411.554985416
1882523.39270309,585412.716111813,"25",1882523.39270309,585412.716111813
1882596.35335365,585293.299698444,"26",1882596.35335365,585293.299698444
1882523.88496025,585414.748039125,"27",1882523.88496025,585414.748039125
1882508.61841872,585467.967931101,"28",1882508.61841872,585467.967931101
1882647.29681111,585189.590880201,"29",1882647.29681111,585189.590880201
1882571.06613329,585319.372344859,"30",1882571.06613329,585319.372344859
1882555.34756956,585362.238937694,"31",1882555.34756956,585362.238937694
1882498.07571701,585481.018116052,"32",1882498.07571701,585481.018116052
1882544.98040929,585380.72726993,"33",1882544.98040929,585380.72726993
1882508.21048704,585440.882941797,"34",1882508.21048704,585440.882941797
1882535.27466166,585384.323722977,"35",1882535.27466166,585384.323722977
1882550.78478028,585363.523029779,"36",1882550.78478028,585363.523029779
1882603.82935186,585270.606698689,"37",1882603.82935186,585270.606698689
1882542.71255945,585400.823359138,"38",1882542.71255945,585400.823359138
1882560.6849534,585344.156714853,"39",1882560.6849534,585344.156714853
1882624.73251713,585251.093128509,"40",1882624.73251713,585251.093128509
1882537.56563911,585417.145928656,"41",1882537.56563911,585417.145928656
1882622.51312701,585266.761915034,"42",1882622.51312701,585266.761915034
1882558.68392849,585346.857397792,"43",1882558.68392849,585346.857397792
1882601.15610534,585276.220880315,"44",1882601.15610534,585276.220880315
1882492.78491844,585482.896597398,"45",1882492.78491844,585482.896597398
1882531.64967699,585406.985421132,"46",1882531.64967699,585406.985421132
1882517.91379543,585423.24317689,"47",1882517.91379543,585423.24317689
1882483.706492,585479.549387026,"48",1882483.706492,585479.549387026
1882496.62561564,585455.650762645,"49",1882496.62561564,585455.650762645
1882577.86878374,585324.17315802,"50",1882577.86878374,585324.17315802
1882582.14309445,585302.753863684,"51",1882582.14309445,585302.753863684
1882592.65418243,585305.042603308,"52",1882592.65418243,585305.042603308
