X,Y,X,Y,id,xcoord,ycoord
-119.274981839159,34.2624453554446,1882582.606990329921246,585319.011500129941851,"0",1882582.606990329921246,585319.011500129941851
-119.274328015035,34.2614955264984,1882641.480979979969561,585212.899002208025195,"1",1882641.480979979969561,585212.899002208025195
-119.275737943226,34.2637567191246,1882514.824639749946073,585465.343024426023476,"2",1882514.824639749946073,585465.343024426023476
-119.275079631641,34.262775284428,1882574.065656149992719,585355.719344187993556,"3",1882574.065656149992719,585355.719344187993556
-119.275336505719,34.263021354303,1882550.756915790028870,585383.311950303963386,"4",1882550.756915790028870,585383.311950303963386
-119.274321705659,34.2614353869777,1882641.977438850095496,585206.221345650963485,"5",1882641.977438850095496,585206.221345650963485
-119.274675663025,34.2621079886244,1882610.327736719977111,585281.235323949949816,"6",1882610.327736719977111,585281.235323949949816
-119.275249209147,34.2630160914091,1882558.788459559902549,585382.626225400017574,"7",1882558.788459559902549,585382.626225400017574
-119.275361883682,34.2631722535377,1882548.632283200044185,585400.078377439989708,"8",1882548.632283200044185,585400.078377439989708
-119.275414053943,34.2629109000822,1882543.460215729894117,585371.151691965991631,"9",1882543.460215729894117,585371.151691965991631
-119.274607149719,34.2620081076964,1882616.496561920037493,585270.077160230022855,"10",1882616.496561920037493,585270.077160230022855
-119.275365352601,34.2631254578686,1882548.246980479918420,585394.892155744018964,"11",1882548.246980479918420,585394.892155744018964
-119.275225932155,34.26295851345,1882560.850962979951873,585376.212851927964948,"12",1882560.850962979951873,585376.212851927964948
-119.274237005031,34.2615162715523,1882649.891215830110013,585215.093655567965470,"13",1882649.891215830110013,585215.093655567965470
-119.275446588221,34.2630054658575,1882540.597297660075128,585381.678337865974754,"14",1882540.597297660075128,585381.678337865974754
-119.275910730384,34.2635780441943,1882498.661623969906941,585445.727519245003350,"15",1882498.661623969906941,585445.727519245003350
-119.274961003198,34.2623303703995,1882584.363967949990183,585306.233757941052318,"16",1882584.363967949990183,585306.233757941052318
-119.274870606059,34.2623745980719,1882592.750731440028176,585311.033616614993662,"17",1882592.750731440028176,585311.033616614993662
-119.27442961738,34.2614404730404,1882632.047047809930518,585206.911456365021877,"18",1882632.047047809930518,585206.911456365021877
-119.275583269073,34.2634966048861,1882528.701981259975582,585436.312050489010289,"19",1882528.701981259975582,585436.312050489010289
-119.274155639192,34.2612317537424,1882656.984115550061688,585183.441774707986042,"20",1882656.984115550061688,585183.441774707986042
-119.276027558391,34.2639436239208,1882488.418029640102759,585486.411846266943030,"21",1882488.418029640102759,585486.411846266943030
-119.27450950377,34.261657664082,1882624.995805290061980,585231.094175514997914,"22",1882624.995805290061980,585231.094175514997914
-119.27448582178,34.2616494341553,1882627.165089149959385,585230.153711272985674,"23",1882627.165089149959385,585230.153711272985674
-119.275686680315,34.2632723048002,1882518.863371860003099,585411.554985416005366,"24",1882518.863371860003099,585411.554985416005366
-119.275637663168,34.2632832900663,1882523.392703090095893,585412.716111812973395,"25",1882523.392703090095893,585412.716111812973395
-119.274829048945,34.2622151461968,1882596.353353650076315,585293.299698443966918,"26",1882596.353353650076315,585293.299698443966918
-119.275632598486,34.2633016633498,1882523.884960249997675,585414.748039124999195,"27",1882523.884960249997675,585414.748039124999195
-119.275805689325,34.26377967143,1882508.618418720085174,585467.967931100982241,"28",1882508.618418720085174,585467.967931100982241
-119.274261662801,34.2612860782734,1882647.296811110107228,585189.590880200965330,"29",1882647.296811110107228,585189.590880200965330
-119.275107192313,34.2624472885523,1882571.066133290063590,585319.372344858944416,"30",1882571.066133290063590,585319.372344858944416
-119.275283759918,34.262831915072,1882555.347569559933618,585362.238937693997286,"31",1882555.347569559933618,585362.238937693997286
-119.275921955939,34.2638961069377,1882498.075717010069638,585481.018116052029654,"32",1882498.075717010069638,585481.018116052029654
-119.275398867772,34.2629973937616,1882544.980409289943054,585380.727269929950126,"33",1882544.980409289943054,585380.727269929950126
-119.275806385705,34.2635354650368,1882508.210487039992586,585440.882941797026433,"34",1882508.210487039992586,585440.882941797026433
-119.275504742967,34.26302870401,1882535.274661659961566,585384.323722976958379,"35",1882535.274661659961566,585384.323722976958379
-119.275333476977,34.2628429687336,1882550.784780279966071,585363.523029778967611,"36",1882550.784780279966071,585363.523029778967611
-119.274744754614,34.2620114331217,1882603.829351860098541,585270.606698689050972,"37",1882603.829351860098541,585270.606698689050972
-119.27542625956,34.263178292097,1882542.712559449952096,585400.823359137983061,"38",1882542.712559449952096,585400.823359137983061
-119.275223318792,34.2626695219285,1882560.684953399933875,585344.156714853015728,"39",1882560.684953399933875,585344.156714853015728
-119.274515115689,34.2618379161188,1882624.732517129974440,585251.093128509004600,"40",1882624.732517129974440,585251.093128509004600
-119.275484391045,34.2633248443952,1882537.565639110049233,585417.145928655983880,"41",1882537.565639110049233,585417.145928655983880
-119.2745413695,34.2619789099294,1882622.513127010082826,585266.761915034032427,"42",1882622.513127010082826,585266.761915034032427
-119.275245416765,34.262693638583,1882558.683928489917889,585346.857397792045958,"43",1882558.683928489917889,585346.857397792045958
-119.274774551999,34.2620617369702,1882601.156105339992791,585276.220880315057002,"44",1882601.156105339992791,585276.220880315057002
-119.275979660055,34.2639124351921,1882492.784918440040201,585482.896597397979349,"45",1882492.784918440040201,585482.896597397979349
-119.275547223564,34.2632325749457,1882531.649676989996806,585406.985421131947078,"46",1882531.649676989996806,585406.985421131947078
-119.275698601007,34.263377560258,1882517.913795429980382,585423.243176889955066,"47",1882517.913795429980382,585423.243176889955066
-119.276077768287,34.263881222543,1882483.706492000026628,585479.549387025996111,"48",1882483.706492000026628,585479.549387025996111
-119.275934204115,34.2636672650447,1882496.625615640077740,585455.650762644945644,"49",1882496.625615640077740,585455.650762644945644
-119.275033994581,34.2624913437894,1882577.868783740093932,585324.173158020013943,"50",1882577.868783740093932,585324.173158020013943
-119.27498463676,34.2622987466677,1882582.143094450002536,585302.753863684018143,"51",1882582.143094450002536,585302.753863684018143
-119.274870829286,34.2623205805754,1882592.654182429891080,585305.042603307985701,"52",1882592.654182429891080,585305.042603307985701
-119.274968672508,34.2624838266038,1882583.873612500028685,585323.263093797024339,"53",1882583.873612500028685,585323.263093797024339
-119.274442127432,34.261716781283,1882631.283585170051083,585237.572402065037750,"54",1882631.283585170051083,585237.572402065037750
-119.27583466379,34.2636506192168,1882505.768558969954029,585453.688157098949887,"55",1882505.768558969954029,585453.688157098949887
-119.27494713145,34.2622519692949,1882585.531095389975235,585297.521806880948134,"56",1882585.531095389975235,585297.521806880948134
-119.274722689465,34.261938187931,1882605.758277710061520,585262.457041851943359,"57",1882605.758277710061520,585262.457041851943359
-119.274348063493,34.2615161849,1882639.663778000045568,585215.213707440998405,"58",1882639.663778000045568,585215.213707440998405
-119.274892624349,34.2622199978419,1882590.505602709949017,585293.912069702055305,"59",1882590.505602709949017,585293.912069702055305
-119.274648678248,34.2619318563504,1882612.564991570077837,585261.668347876984626,"60",1882612.564991570077837,585261.668347876984626
-119.275788616512,34.2636742551575,1882510.042194719891995,585456.255879958043806,"61",1882510.042194719891995,585456.255879958043806
-119.274605997765,34.2618358077747,1882616.360301160020754,585250.965412901015952,"62",1882616.360301160020754,585250.965412901015952
-119.274200858083,34.2614557411285,1882653.134859380079433,585208.337809154996648,"63",1882653.134859380079433,585208.337809154996648
-119.275523098212,34.2630446580024,1882533.606823340058327,585386.114687543013133,"64",1882533.606823340058327,585386.114687543013133
-119.275266869859,34.2627754947041,1882556.823544149985537,585355.961418494000100,"65",1882556.823544149985537,585355.961418494000100
-119.275865758229,34.263501244156,1882502.694855760084465,585437.156782508944161,"66",1882502.694855760084465,585437.156782508944161
-119.275754641333,34.2637412110996,1882513.265129409963265,585463.642491028993391,"67",1882513.265129409963265,585463.642491028993391
-119.275720756483,34.2635003940362,1882516.046474040020257,585436.893005162011832,"68",1882516.046474040020257,585436.893005162011832
-119.275761812504,34.2636647754775,1882512.497152209980413,585455.173125013941899,"69",1882512.497152209980413,585455.173125013941899
-119.275987757627,34.2639680422843,1882492.117535939905792,585489.073644828051329,"70",1882492.117535939905792,585489.073644828051329
-119.275076020232,34.2627333783734,1882574.339260539971292,585351.067174713010900,"71",1882574.339260539971292,585351.067174713010900
-119.274590813782,34.2617868005988,1882617.689652170054615,585245.512119540944695,"72",1882617.689652170054615,585245.512119540944695
-119.276071673684,34.2637465300829,1882484.078059569932520,585464.603040362009779,"73",1882484.078059569932520,585464.603040362009779
-119.274646395232,34.2617942218161,1882612.581640660064295,585246.400142107973807,"74",1882612.581640660064295,585246.400142107973807
-119.274305797041,34.2613255113533,1882643.287951000034809,585194.016071915975772,"75",1882643.287951000034809,585194.016071915975772
-119.274584910418,34.2619597067429,1882618.476479740114883,585264.682866099989042,"76",1882618.476479740114883,585264.682866099989042
-119.27476565113,34.2620999345912,1882602.029508650070056,585280.447119581978768,"77",1882602.029508650070056,585280.447119581978768
-119.275749886174,34.2636092326229,1882513.517221099929884,585448.998728747013956,"78",1882513.517221099929884,585448.998728747013956
-119.27504604696,34.2625676331752,1882576.866238889982924,585332.648766399011947,"79",1882576.866238889982924,585332.648766399011947
-119.276003400686,34.2637336837111,1882490.347026549978182,585463.098386417957954,"80",1882490.347026549978182,585463.098386417957954
-119.275536911687,34.2631741084443,1882532.516978459898382,585400.488641618983820,"81",1882532.516978459898382,585400.488641618983820
-119.275252261862,34.2628857145949,1882558.323871389962733,585368.169233146007173,"82",1882558.323871389962733,585368.169233146007173
-119.275483593447,34.2633618717975,1882537.691203440073878,585421.251838186988607,"83",1882537.691203440073878,585421.251838186988607
-119.274607685544,34.2619102777993,1882616.309618619969115,585259.227121317991987,"84",1882616.309618619969115,585259.227121317991987
-119.274649814818,34.262122412455,1882612.728355670114979,585282.804935910040513,"85",1882612.728355670114979,585282.804935910040513
-119.275658533763,34.2634060813196,1882521.643632679944858,585426.359720667009242,"86",1882521.643632679944858,585426.359720667009242
-119.275183755996,34.2627792664757,1882564.482647550059482,585356.282652657013386,"87",1882564.482647550059482,585356.282652657013386
-119.27464009886,34.261874996556,1882613.275082489941269,585255.351804940961301,"88",1882613.275082489941269,585255.351804940961301
-119.274730356984,34.2620497068749,1882605.209052209975198,585274.834962556022219,"89",1882605.209052209975198,585274.834962556022219
-119.275213013668,34.2627425832725,1882561.736744730034843,585352.248169954051264,"90",1882561.736744730034843,585352.248169954051264
-119.274290943474,34.261416951268,1882644.784391399938613,585204.140659090015106,"91",1882644.784391399938613,585204.140659090015106
-119.275916359876,34.2637109432437,1882498.330336919985712,585460.474407995003276,"92",1882498.330336919985712,585460.474407995003276
-119.275376532645,34.2630392026917,1882547.096043240046129,585385.338349277037196,"93",1882547.096043240046129,585385.338349277037196
-119.274702685988,34.2622199969669,1882607.996777619933710,585293.690130113041960,"94",1882607.996777619933710,585293.690130113041960
-119.275562354289,34.2631961523107,1882530.205057820072398,585402.963339037960395,"95",1882530.205057820072398,585402.963339037960395
-119.275282101742,34.2628537186222,1882555.530951020075008,585364.655310021946207,"96",1882555.530951020075008,585364.655310021946207
-119.275915926999,34.2637863193002,1882498.476325999945402,585468.834129516966641,"97",1882498.476325999945402,585468.834129516966641
-119.275202238614,34.2629632137683,1882563.039465080015361,585376.706498884945177,"98",1882563.039465080015361,585376.706498884945177
-119.275349105065,34.2631556834662,1882549.785716159967706,585398.225600113044493,"99",1882549.785716159967706,585398.225600113044493
-119.272750380694,34.2592540996254,1882783.616536659887061,584962.453430462977849,"0",1882783.616536659887061,584962.453430462977849
-119.273735774317,34.2609954114641,1882695.317193879978731,585156.738134503946640,"1",1882695.317193879978731,585156.738134503946640
-119.272853069153,34.2592631764475,1882774.172501059947535,584963.579927182989195,"2",1882774.172501059947535,584963.579927182989195
-119.272725053683,34.2590105158878,1882785.606852320022881,584935.407145041972399,"3",1882785.606852320022881,584935.407145041972399
-119.273906783162,34.2612022475655,1882679.859738369937986,585179.878653201041743,"4",1882679.859738369937986,585179.878653201041743
-119.27276998644,34.2593898188017,1882782.001620969967917,584977.529396962956525,"5",1882782.001620969967917,584977.529396962956525
-119.272997767106,34.2598720617809,1882761.702307489933446,585031.282354698982090,"6",1882761.702307489933446,585031.282354698982090
-119.272737941206,34.2590798920865,1882784.517446960089728,584943.116937904036604,"7",1882784.517446960089728,584943.116937904036604
-119.273491714797,34.2604700708909,1882717.054395100101829,585098.185926891979761,"8",1882717.054395100101829,585098.185926891979761
-119.273054399408,34.2596243578237,1882756.138988809892908,585003.874671065015718,"9",1882756.138988809892908,585003.874671065015718
-119.27275274951,34.2588799118043,1882782.872850989922881,584920.953672084957361,"10",1882782.872850989922881,584920.953672084957361
-119.272363297661,34.258182147728,1882817.758718709927052,584843.108051056042314,"11",1882817.758718709927052,584843.108051056042314
-119.272623637207,34.2587884720463,1882794.634702109964564,584910.661202649003826,"12",1882794.634702109964564,584910.661202649003826
-119.272540642566,34.2587071154541,1882802.163642660016194,584901.540878523956053,"13",1882802.163642660016194,584901.540878523956053
-119.272440728042,34.2584518484022,1882811.006603199988604,584873.111797244986519,"14",1882811.006603199988604,584873.111797244986519
-119.27378884697,34.2610680834231,1882690.531878980109468,585164.860380648053251,"15",1882690.531878980109468,585164.860380648053251
