X,Y,id,OBJECTID,xcoord,ycoord
1957283.84303359,552507.95399156,"0",,1957283.84303359,552507.95399156
1957260.89649389,552480.638607358,"1",,1957260.89649389,552480.638607358
1957286.02221509,552442.749673556,"2",,1957286.02221509,552442.749673556
1957338.43366731,552343.257477159,"3",,1957338.43366731,552343.257477159
1957405.67433663,552293.146196295,"4",,1957405.67433663,552293.146196295
1957240.21882087,552470.121954644,"5",,1957240.21882087,552470.121954644
1957444.16741154,552258.782479482,"6",,1957444.16741154,552258.782479482
1957261.88992377,552391.171056215,"7",,1957261.88992377,552391.171056215
1957245.45456899,552441.101013049,"8",,1957245.45456899,552441.101013049
1957352.55690143,552390.596936485,"9",,1957352.55690143,552390.596936485
1957246.30028917,552427.419291543,"10",,1957246.30028917,552427.419291543
1957261.55008496,552427.549049171,"11",,1957261.55008496,552427.549049171
1957418.64924556,552271.427923696,"12",,1957418.64924556,552271.427923696
1957332.54615125,552434.2884302,"13",,1957332.54615125,552434.2884302
1957285.90751341,552481.484830581,"14",,1957285.90751341,552481.484830581
1957332.38180799,552358.858538606,"15",,1957332.38180799,552358.858538606
1957356.53137066,552218.656943654,"16",,1957356.53137066,552218.656943654
1957348.81988239,552233.075326579,"17",,1957348.81988239,552233.075326579
1957244.9301024,552422.017374077,"18",,1957244.9301024,552422.017374077
1957355.52608189,552283.939922094,"19",,1957355.52608189,552283.939922094
2009888.68665557,510979.768623789,"0",,2009888.68665557,510979.768623789
2009865.45174124,510918.779280171,"1",,2009865.45174124,510918.779280171
2009882.50193938,510930.260176963,"2",,2009882.50193938,510930.260176963
2009876.49877094,510946.767653954,"3",,2009876.49877094,510946.767653954
2009884.50716184,510956.306804098,"4",,2009884.50716184,510956.306804098
2009877.6006441,510918.560538297,"5",,2009877.6006441,510918.560538297
2009901.82433184,510997.060654139,"6",,2009901.82433184,510997.060654139
2009893.22719746,510986.20737227,"7",,2009893.22719746,510986.20737227
2009891.59465467,511007.16419014,"8",,2009891.59465467,511007.16419014
2009880.95999538,510939.594603179,"9",,2009880.95999538,510939.594603179
2009874.35110337,510928.372593716,"10",,2009874.35110337,510928.372593716
2009871.47864918,510937.010273802,"11",,2009871.47864918,510937.010273802
2009889.74338618,510977.680358417,"12",,2009889.74338618,510977.680358417
2009882.47303578,510918.893522864,"13",,2009882.47303578,510918.893522864
2009874.85387236,510936.243650776,"14",,2009874.85387236,510936.243650776
2009888.72917582,510949.890472714,"15",,2009888.72917582,510949.890472714
2009875.46992713,510924.141911698,"16",,2009875.46992713,510924.141911698
2009877.16067779,510951.221519779,"17",,2009877.16067779,510951.221519779
2009899.87449009,511003.417651203,"18",,2009899.87449009,511003.417651203
2009887.81294367,510965.039691962,"19",,2009887.81294367,510965.039691962
1959870.27629148,547213.496754307,"0",,1959870.27629148,547213.496754307
1959872.49476898,547176.376110957,"1",,1959872.49476898,547176.376110957
1959863.58455575,547152.389438578,"2",,1959863.58455575,547152.389438578
1959900.85057886,547203.455060363,"3",,1959900.85057886,547203.455060363
1959890.21424211,547143.212579456,"4",,1959890.21424211,547143.212579456
1959833.37218301,547273.861800325,"5",,1959833.37218301,547273.861800325
1959836.62656299,547278.521707259,"6",,1959836.62656299,547278.521707259
1959877.62955211,547136.17069358,"7",,1959877.62955211,547136.17069358
1959855.14015749,547268.577930816,"8",,1959855.14015749,547268.577930816
1959845.13967815,547170.715306429,"9",,1959845.13967815,547170.715306429
1959882.72634272,547219.20414846,"10",,1959882.72634272,547219.20414846
1959893.18423418,547194.44378942,"11",,1959893.18423418,547194.44378942
1959863.12399133,547247.822483014,"12",,1959863.12399133,547247.822483014
1959849.84664232,547281.529593211,"13",,1959849.84664232,547281.529593211
1959826.07090049,547238.216283545,"14",,1959826.07090049,547238.216283545
1959847.63763681,547207.452475016,"15",,1959847.63763681,547207.452475016
1959860.64011651,547200.907588925,"16",,1959860.64011651,547200.907588925
1959829.63139073,547228.142201438,"17",,1959829.63139073,547228.142201438
1959891.92164493,547151.1713381,"18",,1959891.92164493,547151.1713381
1959848.4696306,547252.559841833,"19",,1959848.4696306,547252.559841833
1962334.01128433,541269.577677948,"0",,1962334.01128433,541269.577677948
1962562.22065724,540783.730273728,"1",,1962562.22065724,540783.730273728
1962513.17569952,540812.758304224,"2",,1962513.17569952,540812.758304224
1962392.77945113,541292.159112414,"3",,1962392.77945113,541292.159112414
1962532.60830258,540902.559026563,"4",,1962532.60830258,540902.559026563
1962380.57283732,541239.748842748,"5",,1962380.57283732,541239.748842748
1962323.38965446,541326.830293373,"6",,1962323.38965446,541326.830293373
1962572.2342192,540724.675414582,"7",,1962572.2342192,540724.675414582
1962414.56417694,541185.538581596,"8",,1962414.56417694,541185.538581596
1962441.30303433,541148.402577057,"9",,1962441.30303433,541148.402577057
1962604.42361017,540716.604590958,"10",,1962604.42361017,540716.604590958
1962359.51684041,541282.998038386,"11",,1962359.51684041,541282.998038386
1962351.27447032,541262.94090295,"12",,1962351.27447032,541262.94090295
1962390.50386783,541280.892379293,"13",,1962390.50386783,541280.892379293
1962602.60871092,540738.697179196,"14",,1962602.60871092,540738.697179196
1962521.43243211,540966.68195797,"15",,1962521.43243211,540966.68195797
1962325.73411484,541394.340320749,"16",,1962325.73411484,541394.340320749
1962538.09954079,540842.035545727,"17",,1962538.09954079,540842.035545727
1962328.94856572,541463.158745884,"18",,1962328.94856572,541463.158745884
1962548.90920606,540708.7643077,"19",,1962548.90920606,540708.7643077
1958937.26607244,549501.949537965,"0",,1958937.26607244,549501.949537965
1958885.96867242,549586.307554531,"1",,1958885.96867242,549586.307554531
1958894.30332648,549606.47708238,"2",,1958894.30332648,549606.47708238
1958886.80947622,549551.965558622,"3",,1958886.80947622,549551.965558622
1958905.64539659,549467.771000621,"4",,1958905.64539659,549467.771000621
1958881.75645346,549518.935908092,"5",,1958881.75645346,549518.935908092
1958902.06512299,549529.902663757,"6",,1958902.06512299,549529.902663757
1958834.42421831,549583.843453125,"7",,1958834.42421831,549583.843453125
1958850.0870135,549500.69302811,"8",,1958850.0870135,549500.69302811
1958935.70169513,549481.036086879,"9",,1958935.70169513,549481.036086879
1958850.28991094,549515.309595538,"10",,1958850.28991094,549515.309595538
1958919.02367467,549473.034369543,"11",,1958919.02367467,549473.034369543
1958836.37161791,549520.938851081,"12",,1958836.37161791,549520.938851081
1958834.06691279,549544.324061257,"13",,1958834.06691279,549544.324061257
