X,Y,X,Y,id,OBJECTID,xcoord,ycoord
-118.462218431205,33.9724724485599,1957283.843033589888364,552507.953991560032591,"0",,1957283.843033589888364,552507.953991560032591
-118.462465365292,33.972225245199,1957260.896493890089914,552480.638607357977889,"1",,1957260.896493890089914,552480.638607357977889
-118.462191607052,33.9718847132501,1957286.022215089993551,552442.749673555954359,"2",,1957286.022215089993551,552442.749673555954359
-118.461619546708,33.9709899491106,1957338.433667310047895,552343.257477159029804,"3",,1957338.433667310047895,552343.257477159029804
-118.460889492933,33.9705409709315,1957405.674336629919708,552293.146196295041591,"4",,1957405.674336629919708,552293.146196295041591
-118.462688584414,33.9721295782986,1957240.218820869922638,552470.121954643982463,"5",,1957240.218820869922638,552470.121954643982463
-118.460471283263,33.9702327678932,1957444.167411539936438,552258.782479482004419,"6",,1957444.167411539936438,552258.782479482004419
-118.462450161954,33.9714187244956,1957261.889923769980669,552391.171056214952841,"7",,1957261.889923769980669,552391.171056214952841
-118.462630485723,33.9718681678965,1957245.454568990040570,552441.101013049017638,"8",,1957245.454568990040570,552441.101013049017638
-118.461469080022,33.9714173052839,1957352.556901430012658,552390.596936485031620,"9",,1957352.556901430012658,552390.596936485031620
-118.462620653281,33.9717448604439,1957246.300289169885218,552427.419291542959400,"10",,1957246.300289169885218,552427.419291542959400
-118.46245565014,33.9717466628537,1957261.550084959948435,552427.549049171037041,"11",,1957261.550084959948435,552427.549049171037041
-118.460748023442,33.9703457140663,1957418.649245559936389,552271.427923695999198,"12",,1957418.649245559936389,552271.427923695999198
-118.461687775902,33.9718103615277,1957332.546151249902323,552434.288430199958384,"13",,1957332.546151249902323,552434.288430199958384
-118.462194775439,33.9722339111131,1957285.907513410085812,552481.484830581001006,"14",,1957285.907513410085812,552481.484830581001006
-118.461685805305,33.9711303441813,1957332.381807989906520,552358.858538605971262,"15",,1957332.381807989906520,552358.858538605971262
-118.461417534243,33.9698674078615,1957356.531370660057291,552218.656943653943017,"16",,1957356.531370660057291,552218.656943653943017
-118.461501690415,33.9699970723351,1957348.819882390089333,552233.075326579040848,"17",,1957348.819882390089333,552233.075326579040848
-118.462635210287,33.9716961045858,1957244.930102400016040,552422.017374076996930,"18",,1957244.930102400016040,552422.017374076996930
-118.461431654376,33.970455900974,1957355.526081890100613,552283.939922093995847,"19",,1957355.526081890100613,552283.939922093995847
-117.893473076446,33.5989321815204,2009888.686655570054427,510979.768623789015692,"0",,2009888.686655570054427,510979.768623789015692
-117.89372407149,33.5983825970919,2009865.451741239987314,510918.779280170972925,"1",,2009865.451741239987314,510918.779280170972925
